110207 107,141,155
136889 145,20,103
214482 113,88
210207 117,141,155
336889 145,20,103
414482 113,88
510207 107,141,155
636889 145,20,103
224482 113,188
130207 107,141,155
146889 145,20,103
254482 113,887
160207 107,141,115
176889 145,201,103
284482 113,881
190207 107,41,155
132889 145,120,103
217482 113,868
110307 107,121,155
136489 145,250,103
214582 113,818
110607 107,141,155
136789 145,202,103
214882 113,18
110907 107,141,155
136879 145,202,113
214462 113,88
110257 107,141,175
136849 145,20,143
214442 123,848
